Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,-0.070272,0.052586,0.763363,-0.029215,0.011576,0.755611,-0.077228,0.007351,0.781653
0.010000,-0.070289,0.052567,0.763362,-0.029222,0.011563,0.755616,-0.077265,0.007288,0.781628
0.020000,-0.070294,0.052558,0.763356,-0.029243,0.011534,0.755607,-0.077243,0.007349,0.781665
0.030000,-0.070333,0.052521,0.763337,-0.029255,0.011513,0.755614,-0.077346,0.007189,0.781597
0.040000,-0.070335,0.052502,0.763326,-0.029270,0.011492,0.755608,-0.077270,0.007305,0.781643
0.050000,-0.070316,0.052520,0.763314,-0.029270,0.011468,0.755588,-0.077307,0.007244,0.781631
0.060000,-0.070308,0.052494,0.763319,-0.029284,0.011414,0.755576,-0.077318,0.007164,0.781590
0.070000,-0.070286,0.052463,0.763314,-0.029278,0.011385,0.755532,-0.077359,0.007090,0.781569
0.080000,-0.070302,0.052410,0.763307,-0.029280,0.011362,0.755519,-0.077319,0.007147,0.781566
0.090000,-0.070322,0.052394,0.763252,-0.029299,0.011324,0.755489,-0.077343,0.007074,0.781538
0.100000,-0.070313,0.052363,0.763210,-0.029306,0.011279,0.755446,-0.077311,0.007092,0.781499
0.110000,-0.070320,0.052330,0.763177,-0.029292,0.011275,0.755415,-0.077353,0.006992,0.781446
0.120000,-0.070277,0.052356,0.763154,-0.029280,0.011271,0.755376,-0.077326,0.006962,0.781404
0.130000,-0.070267,0.052356,0.763132,-0.029180,0.011404,0.755304,-0.077334,0.006916,0.781339
0.140000,-0.070246,0.052355,0.763106,-0.029129,0.011445,0.755251,-0.077323,0.006907,0.781330
0.150000,-0.070243,0.052346,0.763083,-0.029136,0.011423,0.755208,-0.077355,0.006796,0.781250
0.160000,-0.070232,0.052325,0.763073,-0.029138,0.011384,0.755174,-0.077340,0.006800,0.781233
0.170000,-0.070201,0.052357,0.763041,-0.029144,0.011364,0.755134,-0.077352,0.006742,0.781200
0.180000,-0.070183,0.052365,0.763016,-0.029145,0.011361,0.755102,-0.077324,0.006777,0.781187
0.190000,-0.070211,0.052297,0.763006,-0.029166,0.011330,0.755087,-0.077358,0.006729,0.781149
0.200000,-0.070233,0.052288,0.762984,-0.029177,0.011304,0.755061,-0.077366,0.006695,0.781139
0.210000,-0.070284,0.052229,0.762984,-0.029189,0.011271,0.755042,-0.077331,0.006744,0.781138
0.220000,-0.070260,0.052245,0.762963,-0.029237,0.011208,0.755016,-0.077363,0.006689,0.781119
0.230000,-0.070277,0.052202,0.762945,-0.029230,0.011216,0.755002,-0.077387,0.006638,0.781083
0.240000,-0.070258,0.052177,0.762926,-0.029247,0.011153,0.754969,-0.077419,0.006556,0.781043
0.250000,-0.070257,0.052128,0.762920,-0.029221,0.011130,0.754938,-0.077350,0.006611,0.781045
0.260000,-0.070211,0.052127,0.762909,-0.029198,0.011107,0.754910,-0.077343,0.006523,0.781007
0.270000,-0.070181,0.052105,0.762877,-0.029177,0.011091,0.754874,-0.077350,0.006426,0.780970
0.280000,-0.070164,0.052082,0.762879,-0.029146,0.011071,0.754854,-0.077292,0.006495,0.780999
0.290000,-0.070126,0.052056,0.762871,-0.029098,0.011021,0.754842,-0.077310,0.006365,0.780960
0.300000,-0.070088,0.052048,0.762856,-0.028962,0.011682,0.754596,-0.077248,0.006405,0.780952
0.310000,-0.070082,0.052017,0.762848,-0.029052,0.010968,0.754815,-0.077227,0.006424,0.780967
0.320000,-0.070047,0.052034,0.762828,-0.029038,0.010957,0.754798,-0.077247,0.006325,0.780912
0.330000,-0.070055,0.052000,0.762829,-0.029022,0.010945,0.754791,-0.077136,0.006432,0.780938
0.340000,-0.070036,0.051961,0.762821,-0.029008,0.010918,0.754766,-0.077114,0.006433,0.780924
0.350000,-0.070005,0.051952,0.762812,-0.028974,0.010924,0.754745,-0.077039,0.006517,0.780950
0.360000,-0.069987,0.051961,0.762816,-0.028968,0.010920,0.754742,-0.077003,0.006519,0.780949
0.370000,-0.069956,0.052001,0.762795,-0.028954,0.010907,0.754739,-0.077086,0.006392,0.780903
0.380000,-0.069964,0.051924,0.762816,-0.028931,0.010938,0.754737,-0.077106,0.006336,0.780885
0.390000,-0.069950,0.051933,0.762824,-0.028927,0.010903,0.754740,-0.076921,0.006599,0.780981
0.400000,-0.069948,0.051915,0.762831,-0.028801,0.011560,0.754518,-0.076978,0.006479,0.780964
0.410000,-0.069952,0.051894,0.762839,-0.028946,0.010864,0.754752,-0.076918,0.006571,0.781008
0.420000,-0.069960,0.051857,0.762847,-0.028951,0.010833,0.754749,-0.076943,0.006516,0.780990
0.430000,-0.069976,0.051866,0.762841,-0.028966,0.010817,0.754754,-0.076954,0.006525,0.781003
0.440000,-0.069977,0.051855,0.762840,-0.028976,0.010811,0.754756,-0.077001,0.006433,0.780993
0.450000,-0.070014,0.051798,0.762857,-0.028983,0.010802,0.754760,-0.077029,0.006405,0.780969
0.460000,-0.070024,0.051799,0.762862,-0.028998,0.010789,0.754768,-0.077234,0.006119,0.780910
0.470000,-0.070032,0.051790,0.762862,-0.029020,0.010741,0.754776,-0.077027,0.006424,0.781018
0.480000,-0.070037,0.051789,0.762873,-0.029022,0.010756,0.754795,-0.077053,0.006386,0.781007
0.490000,-0.070052,0.051770,0.762869,-0.029023,0.010767,0.754787,-0.077103,0.006323,0.781000
0.500000,-0.070036,0.051784,0.762892,-0.028889,0.011403,0.754573,-0.076977,0.006491,0.781054
0.510000,-0.070037,0.051778,0.762892,-0.028892,0.011388,0.754585,-0.077189,0.006184,0.780981
0.520000,-0.070028,0.051753,0.762899,-0.028903,0.011367,0.754594,-0.077234,0.006126,0.780977
0.530000,-0.070034,0.051750,0.762895,-0.029047,0.010702,0.754815,-0.076990,0.006514,0.781073
0.540000,-0.070026,0.051761,0.762887,-0.029050,0.010704,0.754803,-0.077204,0.006220,0.780987
0.550000,-0.070014,0.051758,0.762913,-0.028918,0.011349,0.754585,-0.077263,0.006142,0.780962
0.560000,-0.070053,0.051733,0.762891,-0.028932,0.011333,0.754572,-0.077263,0.006147,0.780949
0.570000,-0.070028,0.051752,0.762884,-0.029064,0.010695,0.754807,-0.077266,0.006170,0.780976
